[Wed Apr 05 12:22:58.363050 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP Parse error:  syntax error, unexpected end of file in /home/serg/site/open_service/storage/framework/views/eecbffe30dcd61bb20b4be94d434e0e9acdb365e.php on line 20, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363089 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP Stack trace:, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363101 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP   1. {main}() /home/serg/site/open_service/public/index.php:0, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363109 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP   2. Illuminate\\Foundation\\Http\\Kernel->handle() /home/serg/site/open_service/public/index.php:54, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363118 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP   3. Illuminate\\Foundation\\Http\\Kernel->sendRequestThroughRouter() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:116, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363126 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP   4. Illuminate\\Pipeline\\Pipeline->then() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:149, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363133 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP   5. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:102, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363141 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP   6. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363148 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP   7. Illuminate\\Foundation\\Http\\Middleware\\CheckForMaintenanceMode->handle() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363155 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP   8. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:46, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363163 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP   9. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363171 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  10. Illuminate\\Foundation\\Http\\Middleware\\ValidatePostSize->handle() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363179 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  11. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/ValidatePostSize.php:27, referer: http://openit.tes/admin/events
